;Nom;Adresse;Code_Postal;Ville;Telephone;Site_Internet;Menu;Prix_Menu;Style_Culinaire;Note;Suggestion;Prix_Suggestion;Prestation;Horaires;Longitude;Latitude
0;Auberge La Ferme de Ferrières;800 rte Burnets pringy;74000;ANNECY;04 50 22 04 00;www.aubergelafermedeferrieres.com;;;;;;;['Hôtel', 'Animaux acceptés', 'Wi-fi', 'Repas de groupes', 'Facilités bébés', 'Accès aux personnes à mobilité réduite', 'Restaurant', 'Terrasse', 'Aire de jeux pour les enfants', 'Gîte', 'Parking', 'Hôtels ', 'Restaurants '];['Lundi', '12h00 - 14h00', '19h00 - 21h00', 'Mardi', '12h00 - 14h00', '19h00 - 21h00', 'Mercredi', 'Jeudi', '12h00 - 14h00', '19h00 - 21h00', 'Vendredi', '12h00 - 14h00', '19h00 - 21h00', 'Samedi', '12h00 - 14h00', '19h00 - 21h00', 'Dimanche', '12h00 - 14h00'];;
1;Restaurant La Diligence;pl Général de Gaulle;74160;SAINT JULIEN EN GENEVOIS;04 50 49 07 55;www.la-diligence.fr;;;Restaurant savoyard;5.0;;;"['Cuisine gastronomique', 'Animaux acceptés', 'Repas de groupes', 'Cave à vins', 'Accès aux personnes à mobilité réduite', 'Accès wi-fi', 'Terrasse', 'Plat à emporter', ""Galerie d'art"", 'Brasserie', 'Restaurants ', 'Cafés, bars ']";['Lundi', 'Mardi', '08h00 - 23h45', 'Mercredi', '08h00 - 23h45', 'Jeudi', '08h00 - 23h45', 'Vendredi', '08h00 - 23h45', 'Samedi', '08h00 - 23h45', 'Dimanche'];;
2;Café de Balme;309 rte des Grottes de Balme;74300;MAGLAND;04 50 91 26 31;www.cafedebalme.com;;;;;;;"['Café Balme', 'Poule au pot', ""architecte d'intérieur pour home staging"", 'Cuisine traditionnelle française', 'Bœuf bourguignon', ""agencement d'appartement"", 'Coq au vin', 'Blanquette de veau', ""architecte d'intérieur designer"", ""repas d'affaire"", 'Tartes', 'Desserts', 'Pot-au-feu', ""repas d'entreprises"", 'Cours de cuisine', 'Restaurants ', 'Vente, installation de cuisines ', ""Architectes d'intérieur "", 'Décorateurs ']";['Lundi', 'Mardi', '09h00 - 18h00', 'Mercredi', '09h00 - 18h00', 'Jeudi', '09h00 - 18h00', 'Vendredi', '09h00 - 18h00', 'Samedi', '09h00 - 18h00', 'Dimanche'];;
3;Restaurant les Rochers;24 rte Paris;74330;LA BALME DE SILLINGY;04 50 68 70 07;http://www.hotellesrochers.fr;;;;;;;['Hôtel', 'Piscine extérieure', 'Animaux acceptés', 'Accueil de séminaires', 'Télévision par satellite', 'Terrasse', 'Climatisation', 'Organisation de réceptions', 'Soirée étape', 'Facilité bébés', 'Parc', 'Langues parlées : anglais, italien', 'Accès aux personnes à mobilité réduite', 'Restaurant', 'Parking', 'Restaurants ', 'Hôtels ', 'Restaurants pour réceptions, pour séminaires '];;;
4;La Cabane Du Pêcheur;876 rte Lac;74250;LA TOUR;04 50 36 91 23;www.lacabanedupecheur.net;['Menu à la carte : '];['45 €'];cuisine française;1.0;;;['animation musicale', 'Repas de famille', 'terrasse', 'repas de groupe', 'animaux acceptés', 'anglais parlé', 'bar à huître', 'parking', 'restaurant repas de groupe', 'accès handicapés', 'climatisation', 'Réservation uniquement par téléphone', 'Restaurant', 'enfant'];['Lundi', 'Mardi', '09h00 - 15h45', 'Mercredi', '09h00 - 14h30', '18h00 - 22h45', 'Jeudi', '09h00 - 14h30', '18h00 - 22h45', 'Vendredi', '09h00 - 14h30', '18h00 - 22h45', 'Samedi', '09h00 - 14h30', '18h00 - 22h45', 'Dimanche', '09h00 - 15h45'];;
5;Le Sarto;2 quai Perrière;74000;ANNECY;04 50 51 02 65;www.le-sarto.com;;;Restaurant savoyard;1.0;;;['menu enfant', 'carte des vins', 'repas de groupes', 'accès pour les personnes à mobilité réduite', 'menu du Sarto', 'animaux acceptés'];['Lundi', '12h00 - 14h00', '19h00 - 22h30', 'Mardi', '12h00 - 14h00', '19h00 - 22h30', 'Mercredi', '12h00 - 14h00', '19h00 - 22h30', 'Jeudi', '12h00 - 14h00', '19h00 - 22h30\n ', 'Vendredi', '12h00 - 14h00', '19h00 - 23h00', 'Samedi', '12h00 - 14h30', '19h00 - 23h00', 'Dimanche', '12h00 - 14h00', '19h00 - 22h30'];;
6;;;;;;;;;;;;;;;;
7;Les 3 Caesars;2 r Euro;74960;MEYTHET;04 50 22 35 20;www.facebook.com;;;Cuisine française;5.0;;;['Restaurant', 'Parking', 'Repas de groupes'];['Lundi', 'Mardi', '12h00 - 15h00', '19h00 - 22h30', 'Mercredi', '12h00 - 15h00', '19h00 - 22h30', 'Jeudi', '12h00 - 15h00', '19h00 - 22h30', 'Vendredi', '12h00 - 15h00', '19h00 - 22h30', 'Samedi', '12h00 - 15h00', '19h00 - 22h30', 'Dimanche'];45.921547;6.090663
8;Restaurant Le Pré de la Cure;1 pl de la Mairie;74140;YVOIRE;04 50 72 83 58;www.pre-delacure.com;;;Cuisine française;5.0;;;['Animaux acceptés', 'Wi-fi', 'Hammam', 'Ascenseur', '25 chambres', 'Facilités bébés', 'TV/Satellite', 'Sauna', 'Restaurant', 'Parking', 'Piscine couverte', 'Restaurants ', 'Hôtels '];;;
9;Restaurant Les Tournesols;6 r Pamphiot, Espace Léman 2;74200;THONON LES BAINS;04 50 70 83 62;www.hotel-thonon.com;['Formule Les tournesols (servi le midi uniquement) : ', 'Formule complète ( servi midi uniquement ) : ', 'Menu à 29.5€ Entrée, plat et dessert : ', 'Menu à 45€ Entrée, plat, fromage, dessert : '];['17.50 €', '24 €', '29.50 €', '45 €'];;;"['Soupe de poissons des Rives du Lac Léman', 'Œuf de poule poché sauce meurette', 'Filet de perches du lac Léman', 'Cuisses de grenouille à la provençale', 'Magret de canard au miel et vinaigre de cidre', ""Bréchets de volaille à l'aigre doux""]";['13.50 €', '12 €', '31 €', '23 €', '24 €', '17.50 €'];['Buffet', 'Ouvert 7j/7', 'Organisation de séminaire', 'Menus pour enfants', 'Wi-fi gratuit', 'Hôtel', 'Repas de groupes', 'Accès aux personnes à mobilité réduite', 'Facilités bébés', 'Restaurants ', 'Hôtels ', 'Restaurants pour réceptions, pour séminaires '];['Lundi', '12h00 - 13h45', '19h30 - 21h30', 'Mardi', '12h00 - 13h45', '19h30 - 21h30', 'Mercredi', '12h00 - 13h45', '19h30 - 21h30', 'Jeudi', '12h00 - 13h45', '19h30 - 21h30', 'Vendredi', '12h00 - 13h45', '19h30 - 21h30', 'Samedi', '12h00 - 13h45', '19h30 - 21h30', 'Dimanche', '12h00 - 13h45', '19h30 - 21h30'];;
10;McDonald's Chamonix Centre Ville;122 r Michel Croze;74400;CHAMONIX MONT BLANC;04 50 53 31 13;www.restaurants.mcdonalds.fr;;;fast food;5.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '09h00 - 23h00', 'Mardi', '09h00 - 23h00', 'Mercredi', '09h00 - 23h00', 'Jeudi', '09h00 - 23h00', 'Vendredi', '09h00 - 23h00', 'Samedi', '09h00 - 23h00', 'Dimanche', '09h00 - 23h00'];45.923435;6.871382
11;Alb Hôtel;369 rte Asnières;74540;ALBY SUR CHÉRAN;04 50 68 14 14;www.albhotel.com;;;cuisine française;5.0;;;"['terrasse', ""repas d'affaire"", 'facilité bébé', 'apéritif dînatoire', 'wifi', 'repas de groupe', 'plat à emporter', 'fait maison', 'animaux acceptés', 'anglais parlé', ""repas d'anniversaire"", 'parking', 'accès handicapés', 'climatisation', 'brunch', 'Restaurants ', 'Hôtels ']";['Lundi', '07h00 - 22h30', 'Mardi', '07h00 - 22h30', 'Mercredi', '07h00 - 22h30', 'Jeudi', '07h00 - 22h30', 'Vendredi', '07h00 - 22h30', 'Samedi', '08h00 - 12h00', '18h00 - 20h30', 'Dimanche', '08h00 - 12h00'];;
12;Refuge Des Gourmets;90 rte Framboises;74140;MACHILLY;04 50 43 53 87;www.refugedesgourmets.com;;;français;5.0;"['Foie gras : mi-cuit, déclinaison autour de la pomme de Savoie, agastache', ""Risotto : Carnaroli, crémeux à la truffe noire Melano, fromage d'Abondance"", 'Langoustine : rôtie, déclinaison de carotte du jardin, bisque à la berce des Voirons', 'Boeuf : et escalope de foie gras poêlé, variation de panais, sauce au vin de noix (+ 10 truffe Melano)']";['38\xa0 €', '40\xa0 €', '50\xa0 €', '50\xa0 €'];['animaux acceptés', 'terrasse', 'parking', 'Zone fumeur', 'facilité bébé', 'restaurant repas de groupe', 'accès handicapés', 'wifi', 'climatisation', 'Restaurants ', 'Restaurants gastronomiques ', 'Restaurants pour réceptions, pour séminaires ', 'Restauration à domicile '];['Lundi', 'Mardi', '19h00 - 21h00', 'Mercredi', '12h00 - 14h00', '19h00 - 21h00', 'Jeudi', '12h00 - 14h00', '19h00 - 21h00', 'Vendredi', '12h00 - 14h00', '19h00 - 21h00', 'Samedi', '12h00 - 14h00', '19h00 - 21h00', 'Dimanche', '12h00 - 14h00'];;
13;Aux Petits Oignons;10 chem Club;74300;ARÂCHES LA FRASSE;04 50 90 36 93;http://www.apo74.fr;;;restaurant français;4.0;;;"['Plat du jour, burger et salade repas à 16 € le midi en semaine', 'terrasse', 'Bar salon', ""repas d'affaire"", 'Réception (de 10 à 40 personnes)', 'Bon cadeau', 'facilité bébé', 'salle privée', 'Accès aux personnes à mobilité réduite', 'repas de groupe', 'menu de fêtes', 'Menu découverte à 30 €, Menu Terroir à 38 €, Menu Gourmand à 43 €', 'plat à emporter', 'restaurant végétarien', 'fait maison', 'animaux acceptés', ""repas d'anniversaire"", 'anglais parlé', 'parking', 'Repas, forfait de groupe', 'restaurant repas de groupe', 'accès handicapés']";['Lundi', '11h45 - 14h15', '18h45 - 21h45', 'Mardi', '11h45 - 14h15', '18h45 - 21h45', 'Mercredi', '11h45 - 14h15', '18h45 - 21h45', 'Jeudi', '11h45 - 14h15', '18h45 - 21h45', 'Vendredi', '11h45 - 14h15', '18h45 - 21h45', 'Samedi', '11h45 - 14h15', '18h45 - 21h45', 'Dimanche', '11h45 - 14h15', '18h45 - 21h45'];;
14;American diner;69 rte Epagny;74330;SILLINGY;04 50 22 65 41;www.american-diner.fr;;;restaurant américain;5.0;;;['Grandes variété de hamburgers', 'Restaurant américain', 'parking', 'Formules du midi', 'Spécialités hamburgers', 'facilité bébé', 'climatisation', 'Plats du jour', 'brunch'];['Lundi', '11h30 - 14h00', '18h30 - 22h00', 'Mardi', '11h30 - 14h00', '18h30 - 22h00', 'Mercredi', '11h30 - 14h00', '18h30 - 22h00', 'Jeudi', '11h30 - 14h00', '18h30 - 22h00', 'Vendredi', '11h30 - 14h00', '18h30 - 23h00', 'Samedi', '11h30 - 23h00', 'Dimanche', '09h00 - 22h00'];;
15;Chinatown;8 pass Bains;74000;ANNECY;04 50 09 29 24;https://www.restaurant-chinois-annecy.fr;;;;;;;['buffet à volonté', 'repas de groupe', 'parking', 'plat à emporter', 'menu enfant'];['Lundi', 'Mardi', '12h00 - 14h00', '19h00 - 23h00', 'Mercredi', '12h00 - 14h00', '19h00 - 23h00', 'Jeudi', '12h00 - 14h00', '19h00 - 23h00', 'Vendredi', '12h00 - 14h00', '19h00 - 23h00', 'Samedi', '12h00 - 14h00', '19h00 - 23h00', 'Dimanche', '12h00 - 14h00', '19h00 - 23h00'];45.899393;6.123025
16;Les Papilles;zone artisanale Du Grand Bois rte Thonon;74100;ANNEMASSE;04 50 37 60 73;www.les-papilles.com;;;Restaurant français;5.0;;;['Animaux acceptés', 'Wi-fi', 'Repas de groupes', 'Facilités bébés', 'Accès aux personnes à mobilité réduite', 'Climatisation', 'Parking'];['Lundi', '12h00 - 14h00', '19h00 - 22h30', 'Mardi', '12h00 - 14h00', '19h00 - 22h30', 'Mercredi', '12h00 - 14h00', '19h00 - 22h30', 'Jeudi', '12h00 - 14h00', '19h00 - 22h30', 'Vendredi', '12h00 - 14h00', '19h00 - 22h30', 'Samedi', '12h00 - 14h00', '19h00 - 22h30', 'Dimanche'];46.197246;6.267694
17;Restaurant Le Clos Des Sens;13 r Jean Mermoz;74940;ANNECY LE VIEUX;04 50 23 07 90;www.closdessens.com;;;;;;;['Table gastronomique', 'Parking', 'Animaux acceptés', 'Terrasse', 'Repas de groupes', 'Accès aux personnes à mobilité réduite', 'Facilités bébés', 'Restaurants ', 'Hôtels '];['Lundi', 'Mardi', '19h45 - 21h30', 'Mercredi', '12h00 - 13h30', '19h30 - 21h30', 'Jeudi', '12h00 - 13h30', '19h30 - 21h30', 'Vendredi', '12h00 - 13h30', '19h45 - 21h30', 'Samedi', '12h00 - 13h30', '19h45 - 21h30', 'Dimanche'];45.917819;6.144739
18;McDonald's Sallanches;Centre Cial Carrefour 1805 rte Genève;74700;SALLANCHES;04 50 47 87 27;www.restaurants.mcdonalds.fr;;;fast food;1.0;;;"[""L'Happy anniversaire"", 'Wifi', 'Burger', 'Accès handicapés', 'Les Sandwichs', 'Climatisation', ""L'offre Happy Meal"", 'Vente à emporter', 'Les Desserts', ""L'offre McCafé"", 'Facilités bébés', 'McDrive', 'Fast Food', 'Les Salades', 'Hamburger', 'Les Menus', 'Commande en ligne', 'Les Boissons', 'burger', 'Restauration rapide ', 'Restaurants ']";['Lundi', '10h30 - 23h30', 'Mardi', '10h30 - 23h30', 'Mercredi', '10h30 - 23h30', 'Jeudi', '10h30 - 23h30', 'Vendredi', '10h30 - 23h30', 'Samedi', '10h30 - 23h30', 'Dimanche', '10h30 - 23h30'];45.951683;6.629857
19;L'Estaminet;8 r Ste Claire;74000;ANNECY;04 50 45 88 83;https://www.lestaminet-annecy.fr;;;Restaurant français;5.0;;;['Animaux acceptés', 'Menus enfants', 'Climatisation', 'Repas de groupes', 'restaurant avec terrasse', 'Langue parlée : anglais', 'Restaurant', 'Terrasse', 'Service en salle', 'Restaurants ', 'Cafés, bars '];['Lundi', 'Mardi', '09h00 - 00h00', 'Mercredi', '09h00 - 00h00', 'Jeudi', '09h00 - 00h00', 'Vendredi', '09h00 - 00h00', 'Samedi', '09h00 - 01h00', 'Dimanche', '08h30 - 18h00'];45.898411;6.125102
